,Eruption Number,dt
1121,19849,1983-07-08
1122,20147,1983-07-11
1123,10300,1983-07-12
1124,17342,1983-07-16
1125,16423,1983-07-18
1126,17844,1983-07-26
1127,16668,1983-08-09
1128,16348,1983-08-17
1129,15683,1983-09-14
1130,18272,1983-10-03
1131,12168,1983-10-14
1132,10321,1983-10-27
1133,15055,1983-11-06
1134,20148,1983-11-11
1135,14371,1983-12-04
1136,10301,1983-12-18
1137,16058,1983-12-21
1138,14489,1983-12-26
1139,15722,1984-01-09
1140,19361,1984-02-05
1141,14071,1984-02-23
1142,14770,1984-03-01
1143,18374,1984-03-08
1144,19465,1984-03-10
1145,19581,1984-03-17
1146,10226,1984-03-25
1147,11672,1984-03-30
1148,11100,1984-03-31
